Station,BoardAlight,
Stratford,19702317,
Canary Wharf,19376777,
Woolwich Arsenal,14683631,
Lewisham,11468076,
Stratford Low Level,10337162,
Stratford High Level,9365155,
Limehouse,9086952,
Shadwell,9013721,
Heron Quays,8290694,
Cutty Sark,7512520,
Canning Town Low Level,6537177,
Westferry,6055313,
South Quay,5938495,
Greenwich,5415461,
Deptford Bridge,4650253,
London City Airport,4525906,
Royal Victoria,4278743,
Tower Gateway,4100745,
Crossharbour,4050375,
Langdon Park,3910257,
East India,3764751,
Custom House,3382788,
Stratford International,3194501,
West Ham,3187192,
Prince Regent,3091600,
Poplar,3047075,
Island Gardens,2996639,
Devons Road,2553139,
Mudchute,2314227,
West Silvertown,2067996,
Elverson Road,1953563,
Royal Albert,1655295,
King George V,1645306,
Cyprus,1481702,
Star Lane,1434281,
West India Quay,1356661,
Abbey Road,1204056,
Pontoon Dock,1174302,
Stratford High Street,1143986,
Gallions Reach,1122344,
Pudding Mill Lane,769190,
