NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1718 Entries & Exits,1617 Entries & Exits,1718 Interchanges,1718 Entries & Exits - GB rank,1617 Entries & Exits - GB rank,Large station change flag,Small station change flag,% Change,Explanation of large change 1718,Source for explanation of large change 1718
8001,CMB,Cambridge North,East,Cambridge,Cambridge,547531,260670,Greater Anglia,0,0,0,D.05,Stansted - Ely,Anglia,0," 	151,928 "," 	207,592 "," 	129,358 "," 	488,878 ",N/A," 	1,102 ", 	901 ,N/A,N/A,N/A,N/A,,
7783,ILN,Ilkeston,East Midlands,Erewash,Erewash,447438,342704,East Midlands Trains,0,0,0,I.04,Worksop / Chesterfield - Nottingham,London North East and East Midlands,0," 	164,482 "," 	66,512 "," 	21,778 "," 	252,772 ",N/A,," 	1,270 ",N/A,N/A,N/A,N/A,,
8416,LMR,Low Moor,Yorkshire And The Humber,Bradford,Bradford South,416359,428201,Northern,0,West Yorkshire,0,H.04,Leeds - Halifax (via Bradford),London North East and East Midlands,0," 	45,394 "," 	48,058 "," 	39,608 "," 	133,060 ",N/A,," 	1,591 ",N/A,N/A,N/A,N/A,,
1542,ELS,Elstree & Borehamwood,East,Hertsmere,Hertsmere,519080,196320,Govia Thameslink Railway,,,London Travelcard Area Station,I.01,St Pancras - Bedford,London North East and East Midlands,," 	971,498 "," 	1,116,564 "," 	1,245,940 "," 	3,334,002 "," 	3,247,786 ",, 	164 , 	164 ,0,0,2.7%,,
577,ZFD,Farringdon,London,Islington (London),Islington South and Finsbury,531560,181840,London Underground,LONDON BR,,London Travelcard Area Station,B.14,Thameslink Routes,London North East and East Midlands,," 	4,120,704 "," 	3,285,374 "," 	5,212,392 "," 	12,618,470 "," 	12,045,560 "," 	167,728 ", 	34 , 	34 ,0,0,4.8%,,
598,HOH,Harrow-On-The-Hill,London,Harrow (London),Harrow West,515314,188012,London Underground,,,London Travelcard Area Station,n/a,Metropolitan Line,London North Western,," 	1,076,958 "," 	1,173,956 "," 	267,120 "," 	2,518,034 "," 	2,463,400 ",, 	235 , 	237 ,0,0,2.2%,,
1022,HGG,Haggerston,London,Hackney (London),Hackney South and Shoreditch,533555,183955,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	1,000,680 "," 	1,595,770 "," 	858,218 "," 	3,454,668 "," 	3,223,048 ",, 	155 , 	166 ,0,0,7.2%,,
1023,HOX,Hoxton,London,Hackney (London),Hackney South and Shoreditch,533575,183155,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	834,292 "," 	1,515,350 "," 	847,162 "," 	3,196,804 "," 	2,996,342 ",, 	169 , 	189 ,0,0,6.7%,,
1024,SDC,Shoreditch High Street,London,Tower Hamlets (London),Bethnal Green and Bow,533629,182251,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	2,097,958 "," 	3,962,772 "," 	2,525,326 "," 	8,586,056 "," 	7,855,004 "," 	613,020 ", 	51 , 	61 ,0,0,9.3%,,
1039,ROE,Rotherhithe,London,Southwark (London),Bermondsey and Old Southwark,535305,179785,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	449,730 "," 	827,422 "," 	615,388 "," 	1,892,540 "," 	1,841,128 ",, 	308 , 	320 ,0,0,2.8%,,
1082,SDE,Shadwell,London,Tower Hamlets (London),Poplar and Limehouse,534935,180940,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	1,200,872 "," 	2,136,036 "," 	1,633,938 "," 	4,970,846 "," 	5,015,038 ",, 	98 , 	98 ,0,0,-0.9%,,
1083,SQE,Surrey Quays,London,Southwark (London),Bermondsey and Old Southwark,535642,178946,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	1,004,976 "," 	2,022,638 "," 	1,778,882 "," 	4,806,496 "," 	4,671,354 "," 	317,404 ", 	103 , 	106 ,0,0,2.9%,,
1085,WPE,Wapping,London,Tower Hamlets (London),Poplar and Limehouse,535025,180175,London Overground,,,London Travelcard Area Station,n/a,East London Line,South East,," 	672,004 "," 	1,239,058 "," 	679,006 "," 	2,590,068 "," 	2,483,812 ",, 	225 , 	234 ,0,0,4.3%,,
1397,HRW,Harrow & Wealdstone,London,Harrow (London),Harrow West,515465,189460,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	993,030 "," 	1,702,280 "," 	1,044,930 "," 	3,740,240 "," 	3,852,874 "," 	224,611 ", 	143 , 	134 ,0,0,-2.9%,,
1398,HTE,Hatch End,London,Harrow (London),"Ruislip, Northwood and Pinner",513065,191325,London Overground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	176,282 "," 	435,486 "," 	79,278 "," 	691,046 "," 	712,246 ",, 	727 , 	702 ,0,0,-3.0%,,
1399,KNT,Kenton,London,Brent (London),Brent North,516710,188335,London Underground,,,London Travelcard Area Station,N.11,Euston - Watford Junction (DC Lines),London North Western,," 	242,910 "," 	480,264 "," 	365,560 "," 	1,088,734 "," 	1,138,724 ",, 	521 , 	501 ,0,0,-4.4%,,
1404,ACC,Acton Central,London,Ealing (London),Ealing Central and Acton,520645,180295,London Overground,,,London Travelcard Area Station,E.01,Richmond - Willesden Jcn,Anglia,," 	553,050 "," 	752,542 "," 	602,394 "," 	1,907,986 "," 	1,931,864 ",, 	305 , 	300 ,0,0,-1.2%,,
1409,GPO,Gospel Oak,London,Camden (London),Holborn and St. Pancras,528300,185670,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,," 	722,362 "," 	1,005,058 "," 	652,040 "," 	2,379,460 "," 	2,355,852 "," 	1,108,297 ", 	246 , 	247 ,0,0,1.0%,,
